title,published_date,duration,views,likes,comments,engagement_rate,day_of_week,hour,Month,Day,Hour,TitleLength,DayOfWeek
AI is Stealing my Videos,2024-07-16 18:20:01+00:00,1.0,2566368,123566,1940,0.048904132221100016,Tuesday,18,2024-07,Tuesday,18,24,1
iOS 18 Hands-On: Top 5 Features!,2024-07-15 21:31:41+00:00,12.783333333333333,7791088,217344,7915,0.028912393236990776,Monday,21,2024-07,Monday,21,32,0
"Samsung Z Flip/Fold 6, Watch Ultra, Buds Pro and Ring Impressions!",2024-07-10 13:00:48+00:00,11.033333333333333,4483971,121747,4915,0.02824772952367444,Wednesday,13,2024-07,Wednesday,13,66,2
CMF Phone 1: Fun Modular Budget Phone!,2024-07-08 15:23:00+00:00,11.133333333333333,2768967,95633,4743,0.03625034173393905,Monday,15,2024-07,Monday,15,38,0
The Best Beats Ever?,2024-06-28 19:31:56+00:00,0.9666666666666667,3179206,116507,1162,0.03701207156755492,Friday,19,2024-06,Friday,19,20,4
Golf Tech is Hidden in Plain Sight!,2024-06-27 15:04:20+00:00,13.833333333333334,2204558,95138,3184,0.044599416300228886,Thursday,15,2024-06,Thursday,15,35,3
AI the Product vs AI the Feature,2024-06-20 21:53:33+00:00,8.266666666666667,2577932,104289,3986,0.04200071995692672,Thursday,21,2024-06,Thursday,21,32,3
Real light saber vs Nokia 3310,2024-06-14 13:58:49+00:00,0.95,5614980,133783,2296,0.02423499282277052,Friday,13,2024-06,Friday,13,30,4
Talking Tech and AI with Tim Cook!,2024-06-12 15:56:11+00:00,16.55,3287881,129856,9491,0.04238200835127549,Wednesday,15,2024-06,Wednesday,15,34,2
Apple has done this before 👀,2024-06-11 19:33:58+00:00,0.9833333333333333,4760523,172974,1238,0.03659513881142891,Tuesday,19,2024-06,Tuesday,19,28,1
WWDC 2024 Recap: Is Apple Intelligence Legit?,2024-06-11 07:28:19+00:00,18.383333333333333,6073175,221619,12128,0.03848843479728478,Tuesday,7,2024-06,Tuesday,7,45,1
I Visited Apple's Secret iPhone Testing Labs!,2024-06-07 21:31:09+00:00,10.866666666666667,4095118,141189,8859,0.036640702416877856,Friday,21,2024-06,Friday,21,45,4
Sonos Ace Headphones: You Had One Job!,2024-06-03 14:57:33+00:00,11.383333333333333,2803728,89575,4154,0.033430133022889524,Monday,14,2024-06,Monday,14,38,0
Android 15 Hands-On: Top 5 Features!,2024-05-28 21:40:15+00:00,11.433333333333334,3664993,133341,7262,0.03836378405088359,Tuesday,21,2024-05,Tuesday,21,36,1
I Gave A Commencement Speech!,2024-05-23 19:41:23+00:00,8.966666666666667,1321286,89532,3843,0.070669786859166,Thursday,19,2024-05,Thursday,19,29,3
5 Weird iPad Pro (M4) Decisions,2024-05-22 02:26:31+00:00,13.033333333333333,5505772,145784,6630,0.027682584749241342,Wednesday,2,2024-05,Wednesday,2,31,2
M4 iPad vs MAGNETS,2024-05-16 16:48:08+00:00,1.0,6557048,233202,1336,0.0357688398803852,Thursday,16,2024-05,Thursday,16,18,3
M4 iPad Pro Impressions: Well This is Awkward,2024-05-08 02:06:33+00:00,12.85,6588027,186792,12715,0.03028326993802545,Wednesday,2,2024-05,Wednesday,2,45,2
Google Pixel 8A Impressions: Just Get The 8!,2024-05-07 16:18:33+00:00,7.383333333333334,2872105,88154,4591,0.03229164671904405,Tuesday,16,2024-05,Tuesday,16,44,1
Rabbit R1: Barely Reviewable,2024-04-30 00:21:20+00:00,19.883333333333333,8750512,241571,21963,0.03011640918839949,Tuesday,0,2024-04,Tuesday,0,28,1
New AI Feature: Gaslighting 🫣,2024-04-26 22:12:36+00:00,0.9833333333333333,4722695,218589,3966,0.04712457611596768,Friday,22,2024-04,Friday,22,29,4
I Tried a Disney Secret Project!,2024-04-26 14:26:53+00:00,11.55,9081232,295779,7803,0.03342960514608591,Friday,14,2024-04,Friday,14,32,4
"$20K vs $2,000,000 Hybrid Car!",2024-04-22 16:55:14+00:00,14.75,3312662,92152,3734,0.028945301392052675,Monday,16,2024-04,Monday,16,30,0
Tesla Cybertruck Recall (PSA),2024-04-19 20:21:02+00:00,0.9166666666666666,4842929,175935,4076,0.0371698614619376,Friday,20,2024-04,Friday,20,29,4
NEW Boston Dynamics Robot 🫣,2024-04-17 15:11:47+00:00,1.0,3449783,159434,5006,0.047666766286459175,Wednesday,15,2024-04,Wednesday,15,27,2
Do Bad Reviews Kill Companies?,2024-04-16 23:34:43+00:00,13.466666666666667,4430971,238029,18499,0.05789430804218759,Tuesday,23,2024-04,Tuesday,23,30,1
The Worst Product I've Ever Reviewed... For Now,2024-04-14 22:41:37+00:00,25.066666666666666,8995458,242614,19555,0.029144597195606938,Sunday,22,2024-04,Sunday,22,47,6
"Is the iPhone ""Illegal?""",2024-04-07 15:45:40+00:00,13.533333333333333,3730242,140423,13594,0.0412887421245056,Sunday,15,2024-04,Sunday,15,24,6
Studio_Tour_Outtake_DONOTPUBLISH.mp4,2024-04-01 15:43:47+00:00,0.9833333333333333,1897669,80168,1033,0.04278986482890325,Monday,15,2024-04,Monday,15,36,0
Tesla Cybertruck Review: Already Iconic?,2024-03-29 22:57:31+00:00,27.4,4810448,132439,11134,0.029846076706369136,Friday,22,2024-03,Friday,22,40,4
Here's the Thing about the M3 Macbook Air...,2024-03-20 21:20:58+00:00,9.316666666666666,5828101,124599,6189,0.022440928872028813,Wednesday,21,2024-03,Wednesday,21,44,2
Small Phones are Dead and We Killed Them,2024-03-14 16:58:18+00:00,8.7,3854738,132504,13318,0.03782928956520521,Thursday,16,2024-03,Thursday,16,40,3
Nothing Phone 2A Review: Flashy Good Deal!,2024-03-05 12:28:28+00:00,12.35,3278743,100152,4227,0.03183506606037741,Tuesday,12,2024-03,Tuesday,12,42,1
Reviewing EVERY Samsung Galaxy S Ever!,2024-03-02 01:23:30+00:00,43.81666666666667,7948284,160653,13013,0.021849496067327237,Saturday,1,2024-03,Saturday,1,38,5
